Bénéficiaire,Opération,Fonds,Coût total éligible (M€),Taux UE,Montant UE (M€)
BPIFRANCE FINANCEMENT,Fonds de prêts rebond FEDER Ile de France,FEDER,132.5,0.377,50.0
REGION ILE DE FRANCE,REACT-EU - Fourniture d'équipements numériques i,FEDER,105.0,0.4,42.0
Conseil régional d'Ile de France,PROGRAMME REGIONAL FORMATION ET EMPLOI 1ère RECO,FSE,51.83,0.5,25.92
Conseil régional d'Ile de France,"PROGRAMME REGIONAL QUALIFIANT ""COMPETENCES"" - PR",FSE,50.52,0.5,25.26
Conseil régional d'Ile de France,PROGRAMME REGIONAL FORMATION ET EMPLOI 2018 INIT,FSE,49.15,0.5,24.57
REGION ILE DE FRANCE,Fourniture d'équipements numériques individuels ,FEDER,60.95,0.4,24.38
Conseil régional d'Ile de France,"PROGRAMME REGIONAL QUALIFIANT ""COMPETENCES"" PRC ",FSE,45.63,0.5,22.81
Conseil régional d'Ile de France,"Dispositif régional ""Avenir Jeunes""-Programmes """,FSE,43.49,0.5,21.74
Conseil régional d'Ile de France,Paris Region Venture Fund,FEDER,32.8,0.5,16.4
Conseil régional d'Ile de France,"PROGRAMME REGIONAL QUALIFIANT ""COMPETENCES"" - PR",FSE,29.46,0.5,14.73
